class,tp,fp,fn,precision,recall,f1
BrownSpot,61,29,28,0.6777777777777778,0.6853932584269663,0.6815642458100559
Healthy,193,70,42,0.7338403041825095,0.8212765957446808,0.7751004016064257
Hispa,62,31,33,0.6666666666666666,0.6526315789473685,0.6595744680851063
LeafBlast,96,64,23,0.6,0.8067226890756303,0.6881720430107527
