class,tp,fp,fn,precision,recall,f1
LeafMiner,160,117,22,0.5776173285198556,0.8791208791208791,0.6971677559912853
PowderyMildew,37,8,3,0.8222222222222222,0.925,0.8705882352941177
Rust,180,85,31,0.6792452830188679,0.8530805687203792,0.7563025210084033
AlgalLeafSpot,131,39,12,0.7705882352941177,0.916083916083916,0.8370607028753994
